GeneID,ANNOTATION_SYMBOL,NAME,R1 + prov,R2,R3,R4,R5
FBgn0000121,CG5962,Arrestin 2,0.000,0.000,0.000,0.008,0.283
FBgn0000137,CG3258,asense,0.000,0.020,0.024,0.089,0.014
FBgn0000139,CG6677,"absent, small, or homeotic discs 2",3.755,5.475,7.714,7.684,6.358
FBgn0000140,CG6875,abnormal spindle,0.004,0.035,0.012,1.641,14.383
FBgn0000146,CG6137,aubergine,0.238,0.691,0.232,0.659,0.971
FBgn0000147,CG3068,aurora,3.529,6.388,4.777,5.730,4.095
FBgn0000150,CG2210,abnormal wing discs,1216.975,1437.480,2399.815,1796.021,1441.743
FBgn0000152,CG9703,Abnormal X segregation,0.005,0.030,0.050,0.051,0.063
FBgn0000153,CG7811,black,0.297,0.240,0.232,0.385,0.517
FBgn0000157,CG3629,Distal-less,0.010,0.006,0.004,0.013,0.112
FBgn0000158,CG10422,bag of marbles,0.008,0.044,0.025,0.060,0.077
FBgn0000163,CG5055,bazooka,0.483,1.321,1.243,0.963,1.630
FBgn0000166,CG1034,bicoid,0.006,0.000,0.001,0.001,0.000
FBgn0000173,CG18319,bendless,11.433,21.805,22.176,28.498,33.472
FBgn0000179,CG3578,bifid,0.022,0.080,0.029,0.131,0.254
FBgn0000180,CG4722,big brain,0.109,0.319,0.195,0.364,0.245
FBgn0000181,CG3644,bicaudal,213.710,262.075,335.940,309.233,241.008
FBgn0000182,CG4824,Bicaudal C,0.013,0.015,0.021,0.032,0.016
FBgn0000183,CG6605,Bicaudal D,1.093,1.606,1.657,1.937,2.462
FBgn0000206,CG8285,bride of sevenless,0.067,0.753,0.434,1.210,0.923
FBgn0000210,CG11491,broad,0.047,0.125,0.043,0.222,0.174
FBgn0000212,CG5942,brahma,0.351,0.749,0.690,0.720,0.696
FBgn0000216,CG3096,Bearded,0.000,0.082,0.000,0.000,0.000
FBgn0000221,CG4934,brainiac,4.711,7.917,7.224,12.671,15.161
FBgn0000227,CG12205,Blastoderm-specific gene 25A,0.000,0.000,0.000,0.000,0.000
FBgn0000228,CG14025,Blastoderm-specific gene 25D,0.307,0.688,0.459,0.655,1.114
FBgn0000229,CG5680,basket,11.534,22.955,16.113,24.014,22.215
FBgn0000233,CG12653,buttonhead,0.026,0.093,0.026,0.069,0.208
FBgn0000239,CG9242,burgundy,6.194,5.023,5.459,5.705,8.534
FBgn0000241,CG17632,brown,0.025,0.123,0.251,0.097,0.240
FBgn0000242,,,0.095,0.386,0.676,0.322,0.497
FBgn0000244,CG9379,blistery,1.868,3.697,3.923,3.687,5.453
FBgn0000246,CG17604,crossover suppressor on 3 of Gowen,0.131,0.360,0.383,0.386,0.509
FBgn0000247,CG31037,claret,0.994,1.613,1.010,1.249,2.730
FBgn0000250,CG5848,cactus,7.154,14.499,16.578,13.272,9.949
FBgn0000251,CG1759,caudal,0.024,0.742,1.347,17.658,17.094
FBgn0000253,CG8472,Calmodulin,58.895,91.600,81.472,113.526,161.498
FBgn0000256,CG3399,cappuccino,0.550,0.835,0.648,1.145,1.703
FBgn0000257,CG12230,carnation,1.994,3.087,2.469,3.118,3.318
FBgn0000259,CG15224,Casein kinase II beta subunit,6.491,12.091,10.859,13.661,14.306
FBgn0000261,CG6871,Catalase,40.063,37.377,11.602,36.953,47.055
FBgn0000273,CG4379,cAMP-dependent protein kinase 1,4.262,9.802,6.816,10.576,14.443
FBgn0000274,CG12066,cAMP-dependent protein kinase 2,0.000,0.000,0.000,0.000,0.000
FBgn0000276,CG1365,Cecropin A1,0.902,0.000,0.000,0.126,0.367
FBgn0000277,CG1367,Cecropin A2,0.188,0.000,0.000,0.037,0.038
FBgn0000278,CG1878,Cecropin B,1.466,0.129,0.161,0.116,0.000
FBgn0000279,CG1373,Cecropin C,121.363,0.034,0.068,0.041,0.000
FBgn0000280,CR32926,Cecropin pseudogene 1,0.000,0.000,0.449,0.000,0.000
FBgn0000281,CR32934,Cecropin 2,0.083,0.000,0.000,0.078,0.000
FBgn0000283,CG6384,Centrosomal protein 190kD,1.253,2.534,2.491,2.428,2.607
FBgn0000286,CG11924,Chorion factor 2,1.051,1.964,1.746,1.933,2.346
FBgn0000287,CG4881,spalt-related,0.000,0.012,0.001,0.012,0.137
FBgn0000289,CG8367,combgap,1.665,3.889,3.193,4.075,3.904
FBgn0000299,CG4145,Collagen type IV,0.637,1.061,0.679,1.752,1.826
FBgn0000303,CG12345,Choline acetyltransferase,0.912,2.051,0.540,4.329,11.125
FBgn0000307,CG5813,chiffon,0.152,0.280,0.371,0.336,0.482
FBgn0000308,CG9553,chickadee,44.090,76.890,55.835,127.356,176.978
FBgn0000313,CG1744,chaoptin,0.000,0.041,0.009,0.012,0.050
FBgn0000316,CG2945,cinnamon,0.000,0.003,0.005,0.006,0.005
FBgn0000317,CG7595,crinkled,0.170,0.261,0.408,0.224,0.595
FBgn0000318,CG11024,clot,66.140,125.243,105.349,126.433,80.301
FBgn0000319,CG9012,Clathrin heavy chain,4.971,8.775,7.989,10.004,15.841
FBgn0000320,CG9554,eyes absent,0.204,0.052,0.011,0.047,0.113
FBgn0000326,CG9858,cricklet,2.068,2.625,5.012,1.825,3.066
FBgn0000330,CG3035,carmine,2.449,4.581,3.703,5.545,4.539
FBgn0000337,CG1555,cinnabar,0.200,0.142,0.131,0.109,0.133
FBgn0000339,CG5855,cornichon,16.027,28.471,27.223,24.165,24.119
FBgn0000346,CG1618,comatose,1.035,1.018,0.959,0.997,0.774
FBgn0000351,CG11330,cortex,0.093,0.040,0.135,0.062,0.398
FBgn0000352,CG1708,costa,0.601,0.610,0.500,0.433,0.144
FBgn0000355,CG6519,Chorion protein 15,0.343,0.127,0.000,0.000,0.026
FBgn0000356,CG6533,Chorion protein 16,0.064,0.050,0.000,0.050,0.000
FBgn0000357,CG6517,Chorion protein 18,2.611,1.479,1.052,2.236,3.851
FBgn0000358,CG6524,Chorion protein 19,0.438,0.161,0.020,0.164,1.534
FBgn0000359,CG1478,Chorion protein 36,0.015,0.000,0.000,0.000,0.000
FBgn0000360,CG11213,Chorion protein 38,0.106,0.054,0.070,0.071,0.050
FBgn0000370,CG8669,cryptocephal,49.245,39.604,34.073,38.630,45.745
FBgn0000376,CG2714,cramped,0.189,0.386,0.443,0.456,0.443
FBgn0000377,CG3193,crooked neck,4.437,5.170,6.287,6.282,6.181
FBgn0000382,CG3954,corkscrew,3.378,2.789,2.085,2.088,3.318
FBgn0000384,CG17678,concertina,0.900,1.243,1.501,1.762,2.076
FBgn0000392,CG11181,cup,0.000,0.000,0.000,0.000,0.000
FBgn0000394,CG12410,crossveinless,0.341,0.406,0.232,0.515,0.843
FBgn0000395,CG15671,crossveinless 2,33.968,62.581,19.610,69.960,214.968
FBgn0000404,CG5940,Cyclin A,0.112,0.475,0.105,0.455,0.516
FBgn0000405,CG3510,Cyclin B,0.025,0.062,0.005,0.146,0.172
FBgn0000406,CG13279,Cytochrome b5-related,0.416,0.934,3.237,0.542,1.376
FBgn0000409,CG17903,Cytochrome c proximal,596.628,770.117,926.663,656.036,513.146
FBgn0000411,CG5893,Dichaete,1.978,0.059,0.030,0.020,0.201
FBgn0000412,CG9745,D1 chromosomal protein,19.718,30.545,25.107,40.362,39.586
FBgn0000413,CG5102,daughterless,3.186,6.626,5.266,7.542,10.574
FBgn0000414,CG9695,Disabled,0.170,0.444,0.220,0.494,0.730
FBgn0000416,CG12070,Saposin-related,97.755,162.378,140.625,195.295,263.989
FBgn0000422,CG10697,Dopa decarboxylase,0.822,1.035,0.284,0.272,0.247
FBgn0000426,CG16792,Small ribonucleoprotein particle protein SmF,83.733,113.081,84.508,104.372,93.960
FBgn0000427,CG2175,defective chorion 1,0.001,0.001,0.000,0.000,0.000
FBgn0000439,CG2189,Deformed,0.000,0.019,0.050,0.023,0.014
FBgn0000442,CG3324,cGMP-dependent protein kinase 21D,0.039,0.117,0.069,0.431,0.145
FBgn0000447,CG9741,Dihydroorotate dehydrogenase,12.202,11.935,13.896,13.791,15.318
FBgn0000448,CG33183,Hormone receptor-like in 46,0.147,0.331,0.447,0.280,0.738
FBgn0000449,CG12028,disembodied,0.047,0.247,0.020,0.186,0.575
FBgn0000451,CG6611,ectodermal,0.038,0.025,0.015,0.033,0.248
FBgn0000454,CG9285,Dipeptidase B,17.332,22.617,18.129,37.432,35.804
FBgn0000455,CG5663,Dipeptidase C,56.577,97.885,44.879,264.782,151.532
FBgn0000459,CG9908,disconnected,0.098,0.304,0.169,0.371,1.334
FBgn0000463,CG3619,Delta,0.258,0.330,0.401,1.024,0.920
FBgn0000464,CG10443,Leukocyte-antigen-related-like,0.348,0.406,0.272,0.376,0.476
FBgn0000473,CG9438,Cytochrome P450-6a2,5.453,13.281,5.014,1.381,2.153
FBgn0000477,CG7780,Deoxyribonuclease II,472.569,0.518,0.446,0.980,1.247
FBgn0000479,CG32498,dunce,2.538,2.097,0.750,2.857,4.541
FBgn0000482,CG3093,deep orange,1.672,1.745,1.673,2.748,2.469
FBgn0000489,CG6117,cAMP-dependent protein kinase 3,5.095,0.684,0.504,0.574,0.791
FBgn0000490,CG9885,decapentaplegic,0.050,0.011,0.011,0.018,0.078
FBgn0000492,CG1897,Drop,1.674,0.365,0.020,0.487,2.234
FBgn0000497,CG17941,dachsous,0.000,0.000,0.004,0.001,0.007
FBgn0000499,CG18361,dishevelled,0.954,1.746,1.637,3.000,3.018
FBgn0000500,CG18090,Drosulfakinin,0.000,0.306,0.349,0.069,0.447
FBgn0000504,CG11094,doublesex,0.561,1.090,0.365,1.426,1.058
FBgn0000520,CG2711,deformed wings,1.357,2.444,2.978,4.153,3.421
FBgn0000524,CG3929,deltex,1.103,2.527,1.884,2.516,2.797
FBgn0000527,CG3331,ebony,0.285,0.004,0.000,0.012,0.004
FBgn0000529,CG10604,brain-specific homeobox,0.023,0.072,0.004,0.049,0.113
FBgn0000533,CG4920,easter,0.106,0.085,0.105,0.027,0.756
FBgn0000535,CG10952,ether a go-go,0.303,0.561,0.212,0.096,0.167
FBgn0000536,CG3525,easily shocked,1.508,1.104,2.134,0.764,0.945
FBgn0000541,CG32346,Enhancer of bithorax,0.199,0.425,0.341,0.364,0.432
FBgn0000542,CG2904,echinus,0.040,0.033,0.021,0.061,0.234
FBgn0000543,CG5714,ecdysoneless,5.503,10.419,5.433,11.800,8.037
FBgn0000546,CG1765,Ecdysone receptor,0.399,0.720,0.604,0.928,1.541
FBgn0000547,CG12676,echinoid,0.977,1.204,0.369,2.823,4.854
FBgn0000551,CG7673,Ecdysone-dependent gene 78E,0.078,0.162,0.013,0.189,0.279
FBgn0000552,CG2345,Ecdysone-dependent gene 84A,0.000,0.000,0.266,0.021,0.000
FBgn0000556,CG8280,Elongation factor 1alpha48D,1622.461,1289.783,1492.929,1675.265,1891.386
FBgn0000557,CG1873,Elongation factor 1alpha100E,12.554,9.656,6.323,14.308,11.922
FBgn0000559,CG2238,Elongation factor 2,282.370,180.182,206.009,257.229,293.426
FBgn0000560,CG7383,eagle,0.014,0.000,0.063,0.009,0.000
FBgn0000562,CG4051,egalitarian,6.810,9.560,7.522,9.519,13.005
FBgn0000564,CG5400,Eclosion hormone,0.037,0.098,0.055,0.064,0.185
FBgn0000565,CG7266,Ecdysone-induced protein 28/29kD,8.914,16.411,1.862,16.738,4.642
FBgn0000566,CG5345,Eip55E,92.923,146.474,77.154,137.241,156.270
FBgn0000567,CG32180,Ecdysone-induced protein 74EF,0.522,1.527,0.834,1.780,2.511
FBgn0000568,CG8127,Ecdysone-induced protein 75B,1.382,2.589,1.909,2.075,3.491
FBgn0000575,CG1007,extra macrochaetae,14.769,37.385,53.457,13.977,26.992
FBgn0000576,CG2988,empty spiracles,0.010,0.000,0.005,0.000,0.000
FBgn0000577,CG9015,engrailed,0.000,0.024,0.017,0.041,0.129
FBgn0000578,CG15112,enabled,1.107,2.795,2.382,4.315,8.870
FBgn0000579,CG17654,Enolase,28.818,29.644,38.014,44.823,30.856
FBgn0000581,CG7776,Enhancer of Polycomb,0.152,0.361,0.337,0.375,0.551
FBgn0000588,CG14941,extra sexcombs,0.163,0.520,0.538,0.821,0.870
FBgn0000591,CG8365,"Enhancer of split m8, helix-loop-helix",0.000,0.033,0.411,3.495,2.041
FBgn0000592,CG6917,Esterase 6,160.146,0.098,0.134,0.032,0.088
FBgn0000594,CG17148,Esterase P,0.304,0.336,0.162,0.205,0.459
FBgn0000606,CG2328,even skipped,0.161,0.475,0.000,0.241,0.400
FBgn0000611,CG8933,extradenticle,2.523,4.805,4.312,5.168,5.618
FBgn0000615,CG8994,exuperantia,0.347,1.057,0.846,1.587,1.567
FBgn0000617,CG6474,enhancer of yellow 1,8.889,6.141,3.675,5.642,5.136
FBgn0000618,CG15191,enhancer of yellow 2,12.483,14.585,14.789,15.501,9.009
FBgn0000625,CG10488,eyegone,1.969,0.100,0.162,0.050,0.199
FBgn0000629,CG6502,Enhancer of zeste,1.341,2.194,2.048,2.102,2.554
FBgn0000633,CG17716,faint sausage,1.213,26.637,76.174,4.541,0.371
FBgn0000635,CG3665,Fasciclin 2,1.902,3.478,2.120,5.196,11.492
FBgn0000636,CG5803,Fasciclin 3,2.601,4.776,1.841,6.508,12.921
FBgn0000639,CG17285,Fat body protein 1,0.000,0.000,0.000,0.003,0.024
FBgn0000640,CG3763,Fat body protein 2,0.138,0.048,0.271,0.287,0.221
FBgn0000644,CG4015,Follicle cell protein 3C,1.237,2.867,2.918,8.574,18.173
FBgn0000658,CG10917,four-jointed,0.014,0.007,0.056,0.015,0.007
FBgn0000659,CG10002,fork head,7.125,13.207,8.095,12.470,12.095
FBgn0000662,CG6315,female lethal d,2.177,4.366,4.640,4.886,4.957
FBgn0000667,CG4376,alpha actinin,0.203,0.327,0.214,0.417,0.613
FBgn0000709,CG1484,flightless I,0.615,2.113,3.793,2.192,3.194
FBgn0000711,CG2096,flapwing,8.365,7.895,11.539,5.971,8.392
FBgn0000715,CG2346,FMRFamide,0.047,0.015,0.000,0.038,0.000
FBgn0000719,CG9559,folded gastrulation,0.127,0.021,0.052,0.082,0.029
FBgn0000721,CG10033,foraging,1.294,3.134,2.132,3.198,2.291
FBgn0000723,CG8874,Fps oncogene analog,0.659,1.281,0.900,1.345,2.660
FBgn0000808,CG1505,gastrulation-defective,0.114,0.414,0.181,0.168,0.046
FBgn0000810,CG3218,female sterile (1) K10,0.718,2.062,1.797,2.121,1.678
FBgn0000826,CG11420,pan gu,0.595,0.283,0.254,0.315,1.836
FBgn0000927,CG2707,female sterile (1) Young arrest,0.056,0.109,0.022,0.052,0.085
FBgn0000928,CG2706,female sterile (1) Yb,0.000,0.000,0.000,0.019,0.000
FBgn0000964,CG10034,traffic jam,0.008,0.033,0.039,0.035,0.007
FBgn0000996,CG8171,double parked,0.230,0.780,0.531,1.071,0.937
FBgn0001075,CG3352,fat,0.125,0.674,0.105,0.410,0.409
FBgn0001077,CG2047,fushi tarazu,0.000,0.000,0.000,0.000,0.000
FBgn0001078,CG4059,ftz transcription factor 1,1.405,5.147,5.114,5.051,6.231
FBgn0001079,CG6551,fused,0.523,0.515,0.672,0.779,0.717
FBgn0001083,CG1500,furrowed,0.028,0.069,0.036,0.057,0.049
FBgn0001084,CG13396,fuzzy,0.516,0.847,0.737,0.697,0.352
FBgn0001085,CG17697,frizzled,0.605,2.327,0.742,3.652,6.727
FBgn0001086,CG4274,fizzy,0.781,1.587,1.548,1.616,1.404
FBgn0001087,CG10986,garnet,1.160,2.352,1.680,2.820,3.417
FBgn0001089,CG9092,beta galactosidase,0.479,0.552,4.345,0.116,0.059
FBgn0001090,CG7088,bangles and beads,0.122,0.164,0.087,0.147,0.405
FBgn0001091,CG12055,Glyceraldehyde 3 phosphate dehydrogenase 1,71.178,57.174,53.636,78.765,63.277
FBgn0001092,CG8893,Glyceraldehyde 3 phosphate dehydrogenase 2,49.874,75.781,87.987,145.033,94.692
FBgn0001098,CG5320,Glutamate dehydrogenase,6.383,7.565,10.541,6.086,27.223
FBgn0001099,CG33756,gonadal,0.731,0.803,1.263,0.785,0.756
FBgn0001104,CG10060,G protein alpha i subunit,3.744,4.568,12.302,3.199,4.135
FBgn0001105,CG10545,G protein beta-subunit 13F,15.179,34.615,22.115,45.682,51.589
FBgn0001108,CG9206,Glued,2.574,4.777,5.346,5.785,7.614
FBgn0001112,CG1152,Glucose dehydrogenase,0.041,0.026,0.172,0.108,0.096
FBgn0001114,CG9280,Glutactin,0.081,0.207,0.059,0.221,0.381
FBgn0001120,CG5272,giant nuclei,0.027,0.265,0.028,0.017,0.193
FBgn0001122,CG2204,G protein alpha o subunit,4.989,10.931,4.399,14.119,23.452
FBgn0001123,CG2835,G protein alpha s subunit,6.379,12.930,10.310,12.777,14.034
FBgn0001124,CG8430,Glutamate oxaloacetate transaminase 1,28.581,34.503,30.975,49.488,38.591
FBgn0001125,CG4233,Glutamate oxaloacetate transaminase 2,28.165,38.356,31.770,51.500,28.424
FBgn0001128,CG9042,Glycerol 3 phosphate dehydrogenase,20.729,22.765,7.449,26.861,21.447
FBgn0001133,CG33133,grauzone,4.507,6.246,8.045,8.604,8.502
FBgn0001134,CG7446,Glycine receptor,3.028,1.697,3.907,2.970,2.149
FBgn0001137,CG17610,gurken,2.080,1.956,1.649,1.962,2.217
FBgn0001138,CG9656,grain,0.069,0.095,0.013,0.099,0.259
FBgn0001139,CG8384,groucho,1.042,2.046,1.542,2.775,2.858
FBgn0001142,CG2718,Glutamine synthetase 1,6.841,20.830,25.137,14.374,11.191
FBgn0001145,CG1743,Glutamine synthetase 2,43.767,21.020,11.747,7.525,10.825
FBgn0001147,CG2692,gooseberry-neuro,0.038,0.104,0.033,0.251,0.510
FBgn0001148,CG3388,gooseberry,0.031,0.040,0.000,0.046,0.153
FBgn0001149,CG10045,Glutathione S transferase D1,532.192,727.915,644.439,1123.318,762.287
FBgn0001150,CG7952,giant,0.462,1.142,0.326,0.905,1.169
FBgn0001168,CG6494,hairy,32.978,48.530,43.504,91.438,187.301
FBgn0001169,CG5460,Hairless,0.294,0.729,0.580,0.794,1.067
FBgn0001170,CG11607,Homeodomain protein 2.0,0.396,0.026,0.000,0.027,0.077
FBgn0001174,CG7428,halo,0.000,0.010,0.000,0.031,0.000
FBgn0001179,CG8019,haywire,1.933,3.064,2.773,3.363,2.631
FBgn0001180,CG9786,hunchback,0.000,0.002,0.000,0.030,0.024
FBgn0001185,CG4694,hermaphrodite,3.693,6.920,4.791,5.635,8.659
FBgn0001186,CG3001,Hexokinase A,17.280,15.603,11.591,12.116,17.782
FBgn0001187,CG8094,Hexokinase C,0.053,0.039,0.041,0.183,1.387
FBgn0001189,CG3095,halfway,16.746,29.113,17.798,32.792,40.803
FBgn0001197,CG5499,Histone H2A variant,190.434,340.141,240.286,322.926,336.869
FBgn0001202,CG10653,hook,9.809,17.583,16.121,21.519,24.765
FBgn0001206,CG1619,Hybrid male rescue,0.206,0.245,0.328,0.319,0.198
FBgn0001208,CG7399,Henna,0.036,0.303,0.493,0.291,1.481
FBgn0001215,CG9983,Heterogeneous nuclear ribonucleoprotein at 98DE,9.295,16.700,16.879,18.636,19.923
FBgn0001216,CG8937,Heat shock protein cognate 1,0.031,0.036,0.021,0.004,0.007
FBgn0001217,CG7756,Heat shock protein cognate 2,0.015,0.082,0.046,0.462,0.501
FBgn0001218,CG4147,Heat shock 70-kDa protein cognate 3,64.753,91.804,50.311,141.878,155.356
FBgn0001219,CG4264,Heat shock protein cognate 4,36.909,44.051,39.151,51.017,59.397
FBgn0001220,CG8542,Heat shock protein cognate 5,34.431,55.447,54.122,49.782,52.287
FBgn0001222,CG5748,Heat shock factor,3.565,8.256,5.328,7.061,6.995
FBgn0001223,CG4460,Heat shock protein 22,0.000,0.000,0.000,0.000,0.000
FBgn0001224,CG4463,Heat shock protein 23,2809.341,4548.934,3054.671,5277.123,3646.349
FBgn0001225,CG4183,Heat shock protein 26,6738.582,9924.609,6598.392,9786.784,4989.174
FBgn0001226,CG4466,Heat shock protein 27,757.236,1110.482,814.592,1316.286,839.004
FBgn0001227,CG4167,Heat shock gene 67Ba,17.670,15.676,30.261,32.647,18.446
FBgn0001228,CG4456,Heat shock gene 67Bb,0.000,0.014,0.012,0.031,0.037
FBgn0001229,CG4190,Heat shock gene 67Bc,217.505,322.909,292.362,601.148,484.921
FBgn0001230,CG5436,Heat shock protein 68,642.094,965.030,647.206,893.805,340.409
FBgn0001233,CG1242,Heat shock protein 83,250.635,435.608,379.449,512.017,523.144
FBgn0001234,CR31400,Heat shock RNA omega,7.954,7.882,14.682,13.988,26.005
FBgn0001235,CG17117,homothorax,0.803,0.949,2.150,7.269,8.250
FBgn0001247,CG5517,Insulin degrading metalloproteinase,5.297,9.046,8.953,9.417,12.658
FBgn0001248,CG7176,Isocitrate dehydrogenase,8.566,8.322,6.727,15.362,26.553
FBgn0001250,CG9623,inflated,0.045,0.097,0.069,0.064,0.024
FBgn0001253,CG32356,Ecdysone-inducible gene E1,0.021,0.013,0.020,0.014,0.023
FBgn0001254,CG1934,Ecdysone-inducible gene E2,0.034,0.097,0.091,0.046,0.288
FBgn0001255,CG2723,Ecdysone-inducible gene E3,0.259,0.254,0.218,0.361,0.457
FBgn0001256,CG10717,Ecdysone-inducible gene L1,0.000,0.000,0.000,0.004,0.000
FBgn0001257,CG15009,Ecdysone-inducible gene L2,1.884,2.299,40.114,8.622,7.992
FBgn0001258,CG10160,Ecdysone-inducible gene L3,31.531,66.359,75.021,48.397,54.385
FBgn0001259,CG16993,inturned,0.014,0.060,0.000,0.083,0.017
FBgn0001263,CG3504,inactivation no afterpotential D,0.054,0.207,0.091,0.140,0.069
FBgn0001269,CG17835,invected,0.007,0.000,0.005,0.003,0.001
FBgn0001276,CG13201,intersex,15.557,28.878,23.389,26.902,15.133
FBgn0001280,CG7933,janus A,11.647,15.574,13.993,17.811,16.294
FBgn0001281,CG7931,janus B,0.029,0.912,0.287,0.125,0.727
FBgn0001285,CG8579,Jonah 44E,0.000,0.000,0.564,12.991,0.171
FBgn0001291,CG2275,Jun-related antigen,17.032,23.058,25.917,30.904,53.037
FBgn0001296,CG12286,karmoisin,9.178,29.600,12.064,36.605,4.455
FBgn0001297,CG33956,kayak,21.737,50.869,42.150,45.201,95.372
FBgn0001301,CG7210,kelch,0.233,0.657,0.435,0.381,0.517
FBgn0001308,CG7765,Kinesin heavy chain,12.287,21.420,23.391,29.064,35.085
FBgn0001311,CG2666,krotzkopf verkehrt,0.051,0.062,0.026,0.043,0.020
FBgn0001313,CG17866,male fertility factor kl2,0.000,0.002,0.000,0.000,0.000
FBgn0001314,CG17629,male fertility factor kl3,0.000,0.000,0.000,0.000,0.000
FBgn0001315,CG40444,male fertility factor kl5,0.000,0.000,0.000,0.000,0.000
FBgn0001316,CG17046,klarsicht,1.780,4.503,3.450,3.993,7.592
FBgn0001319,CG10197,knot,0.033,0.063,0.047,0.007,0.003
FBgn0001320,CG4717,knirps,0.420,0.957,0.444,0.758,1.052
FBgn0001321,CG6217,knickkopf,0.703,1.209,0.489,1.187,2.533
FBgn0001323,CG4761,knirps-like,0.155,0.078,0.148,0.030,0.039
FBgn0001324,CG8491,kohtalo,0.275,0.407,0.547,0.544,0.366
FBgn0001325,CG3340,Kruppel,0.030,0.249,0.031,0.253,0.337
FBgn0001330,CG3228,kurz,0.071,0.238,0.207,0.173,0.278
FBgn0001332,CG10109,Lobe,4.575,12.367,5.341,12.949,9.205
FBgn0001337,CG3923,Exportin 6,2.120,6.028,5.562,6.336,6.968
FBgn0001341,CG6189,lethal (1) 1Bi,0.181,0.413,1.028,0.389,0.274
