#SUBMITTED ID	FBID_KEY	ANNOTATION_SYMBOL	SYMBOL
FBgn0039461	FBgn0039461	CG5500	CG5500
FBgn0039462	FBgn0039462	CG14252	CG14252
FBgn0039464	FBgn0039464	CG6330	CG6330
FBgn0039465	FBgn0039465	CG6323	Tsp97E
FBgn0039466	FBgn0039466	CG5521	CG5521
FBgn0039467	FBgn0039467	CG14253	CG14253
FBgn0039471	FBgn0039471	CG6295	CG6295
FBgn0039472	FBgn0039472	CG17192	CG17192
FBgn0039474	FBgn0039474	CG6283	CG6283
FBgn0039475	FBgn0039475	CG6277	CG6277
FBgn0039476	FBgn0039476	CG6271	CG6271
FBgn0039479	FBgn0039479	CG14257	CG14257
FBgn0039482	FBgn0039482	CG14258	CG14258
FBgn0039485	FBgn0039485	CG17189	CG17189
FBgn0039486	FBgn0039486	CG6074	CAH9
FBgn0039487	FBgn0039487	CG6070	gb
FBgn0039488	FBgn0039488	CG6066	CG6066
FBgn0039489	FBgn0039489	CG5880	CG5880
FBgn0039492	FBgn0039492	CG6051	CG6051
FBgn0039494	FBgn0039494	CG5896	grass
FBgn0039501	FBgn0039501	CG5987	TTLL6B
FBgn0039505	FBgn0039505	CG5934	CG5934
FBgn0039507	FBgn0039507	CG3361	mrt
FBgn0039508	FBgn0039508	CG3368	CG3368
FBgn0039509	FBgn0039509	CG3350	bigmax
FBgn0039525	FBgn0039525	CG5646	CG5646
FBgn0039528	FBgn0039528	CG5634	dsd
FBgn0039530	FBgn0039530	CG5586	Tusp
FBgn0039531	FBgn0039531	CG5611	CG5611
FBgn0039532	FBgn0039532	CG5588	Mtl
FBgn0039537	FBgn0039537	CG5590	CG5590
FBgn0039538	FBgn0039538	CG12883	CG12883
FBgn0039543	FBgn0039543	CG12428	CROT
FBgn0039544	FBgn0039544	CG12877	CG12877
FBgn0039554	FBgn0039554	CG5003	CG5003
FBgn0039555	FBgn0039555	CG12261	mRpS22
FBgn0039557	FBgn0039557	CG12259	CG12259
FBgn0039558	FBgn0039558	CG4980	BCAS2
FBgn0039560	FBgn0039560	CG5514	BOD1
FBgn0039561	FBgn0039561	CG4963	mfrn
FBgn0039562	FBgn0039562	CG5520	Gp93
FBgn0039563	FBgn0039563	CG4951	CG4951
FBgn0039566	FBgn0039566	CG4849	CG4849
FBgn0039580	FBgn0039580	CG1345	Gfat2
FBgn0039581	FBgn0039581	CG1866	Moca-cyp
FBgn0039588	FBgn0039588	CG12413	mIF2
FBgn0039589	FBgn0039589	CG9986	CG9986
FBgn0039590	FBgn0039590	CG10011	CG10011
FBgn0039595	FBgn0039595	CG10001	AstA-R2
FBgn0039596	FBgn0039596	CG10000	CG10000
FBgn0039600	FBgn0039600	CG1646	CG1646
FBgn0039601	FBgn0039601	CG1523	CG1523
FBgn0039602	FBgn0039602	CG1647	CG1647
FBgn0039620	FBgn0039620	CG1443	wat
FBgn0039623	FBgn0039623	CG1951	CG1951
FBgn0039625	FBgn0039625	CG14517	beta4GalNAcTB
FBgn0039626	FBgn0039626	CG1420	Slu7
FBgn0039627	FBgn0039627	CG11837	CG11837
FBgn0039628	FBgn0039628	CG11841	CG11841
FBgn0039629	FBgn0039629	CG11842	CG11842
FBgn0039631	FBgn0039631	CG11305	Sirt7
FBgn0039632	FBgn0039632	CG1401	Cul5
FBgn0039633	FBgn0039633	CG11873	CG11873
FBgn0039634	FBgn0039634	CG11874	alpha-Man-Ib
FBgn0039635	FBgn0039635	CG11876	Pdhb
FBgn0039636	FBgn0039636	CG11877	Atg14
FBgn0039637	FBgn0039637	CG11880	Ctl2
FBgn0039638	FBgn0039638	CG11881	dgt6
FBgn0039639	FBgn0039639	CG14512	CG14512
FBgn0039640	FBgn0039640	CG14516	CG14516
